order_id,customer_id,restaurant_id,rider_id,calendar_id,weather_id,payment_id,promotion_id,order_timestamp,delivered_timestamp,order_status,delivery_minutes,delivery_fee,platform_fee,cancellation_reason
37,452,7,236,143,143,5,,2024-05-22 10:37:00,2024-05-22 11:15:00,Delivered,38.0,40,10,
38,1467,89,7,374,374,3,5.0,2025-01-08 19:36:00,2025-01-08 20:30:00,Delivered,54.0,40,10,
39,269,4,83,96,96,4,,2024-04-05 14:00:00,2024-04-05 14:24:00,Delivered,24.0,25,10,
40,737,41,110,566,566,3,7.0,2025-07-19 20:31:00,2025-07-19 21:10:00,Delivered,39.0,60,10,
41,1460,85,204,234,234,5,,2024-08-21 22:44:00,2024-08-21 23:27:00,Delivered,43.0,40,10,
42,427,13,182,225,225,4,,2024-08-12 13:37:00,2024-08-12 14:23:00,Delivered,46.0,25,10,
43,991,55,253,11,11,4,3.0,2024-01-11 21:27:00,,Cancelled,,25,10,Customer Cancelled
44,800,36,152,296,296,4,9.0,2024-10-22 13:05:00,2024-10-22 13:46:00,Delivered,41.0,25,10,
45,1730,105,286,22,22,4,9.0,2024-01-22 19:36:00,2024-01-22 19:56:00,Delivered,20.0,25,10,
46,1068,55,288,697,697,4,,2025-11-27 08:12:00,2025-11-27 09:01:00,Delivered,49.0,25,10,
47,313,12,203,494,494,5,,2025-05-08 12:21:00,2025-05-08 13:07:00,Delivered,46.0,60,10,
48,1934,107,28,389,389,1,,2025-01-23 13:40:00,2025-01-23 14:21:00,Delivered,41.0,60,10,
49,1618,100,126,483,483,3,5.0,2025-04-27 07:07:00,2025-04-27 07:36:00,Delivered,29.0,0,10,
50,1763,110,286,356,356,3,4.0,2024-12-21 13:50:00,2024-12-21 14:49:00,Delivered,59.0,60,10,
51,1522,97,157,450,450,4,,2025-03-25 12:50:00,2025-03-25 13:23:00,Delivered,33.0,25,10,
52,739,40,150,556,556,1,3.0,2025-07-09 09:23:00,2025-07-09 09:56:00,Delivered,33.0,40,10,
53,1950,109,155,215,215,1,,2024-08-02 21:45:00,2024-08-02 22:11:00,Delivered,26.0,0,10,
54,1264,73,292,670,670,3,,2025-10-31 14:55:00,2025-10-31 15:51:00,Delivered,56.0,60,10,
55,1998,117,269,309,309,1,2.0,2024-11-04 14:45:00,2024-11-04 15:45:00,Delivered,60.0,25,10,
56,1751,118,118,410,410,2,,2025-02-13 19:55:00,2025-02-13 20:31:00,Delivered,36.0,25,10,
57,1165,64,124,222,222,5,,2024-08-09 20:49:00,2024-08-09 21:23:00,Delivered,34.0,25,10,
58,168,4,282,623,623,5,,2025-09-14 12:08:00,2025-09-14 12:33:00,Delivered,25.0,0,10,
59,274,15,31,109,109,1,,2024-04-18 10:52:00,2024-04-18 11:42:00,Delivered,50.0,40,10,
60,1619,99,248,692,692,4,,2025-11-22 16:51:00,2025-11-22 17:51:00,Delivered,60.0,40,10,
61,1221,73,172,445,445,3,4.0,2025-03-20 22:46:00,2025-03-20 23:43:00,Delivered,57.0,40,10,
62,1673,97,153,215,215,2,,2024-08-02 13:54:00,2024-08-02 14:29:00,Delivered,35.0,25,10,
63,223,22,213,603,603,5,,2025-08-25 14:37:00,2025-08-25 14:57:00,Delivered,20.0,25,10,
64,128,26,121,153,153,1,2.0,2024-06-01 20:00:00,2024-06-01 20:47:00,Delivered,47.0,25,10,
65,1141,55,147,123,123,4,5.0,2024-05-02 19:40:00,2024-05-02 20:33:00,Delivered,53.0,40,10,
66,12,15,67,610,610,1,,2025-09-01 20:41:00,2025-09-01 21:40:00,Delivered,59.0,40,10,
67,1712,114,130,668,668,3,,2025-10-29 10:25:00,,Cancelled,,0,10,Restaurant Closed
68,1302,81,292,518,518,1,,2025-06-01 12:47:00,2025-06-01 13:23:00,Delivered,36.0,25,10,
69,1343,79,91,270,270,5,12.0,2024-09-26 20:27:00,2024-09-26 21:06:00,Delivered,39.0,25,10,
70,1933,104,284,435,435,2,,2025-03-10 12:10:00,2025-03-10 13:07:00,Delivered,57.0,25,10,
71,1992,104,27,404,404,3,,2025-02-07 19:31:00,2025-02-07 19:59:00,Delivered,28.0,40,10,
72,399,6,231,34,34,5,,2024-02-03 21:35:00,2024-02-03 22:10:00,Delivered,35.0,25,10,
73,1442,84,235,566,566,1,,2025-07-19 12:52:00,2025-07-19 13:20:00,Delivered,28.0,25,10,
74,1637,100,281,660,660,4,4.0,2025-10-21 22:20:00,2025-10-21 22:52:00,Delivered,32.0,0,10,
75,1260,83,138,85,85,5,12.0,2024-03-25 19:04:00,,Cancelled,,40,10,Customer Cancelled
76,891,59,36,25,25,1,,2024-01-25 16:09:00,2024-01-25 16:51:00,Delivered,42.0,40,10,
77,1128,68,202,385,385,4,3.0,2025-01-19 21:16:00,2025-01-19 22:12:00,Delivered,56.0,25,10,
78,1975,103,105,727,727,2,10.0,2025-12-27 09:26:00,2025-12-27 09:53:00,Delivered,27.0,0,10,
79,1524,98,270,326,326,1,9.0,2024-11-21 20:22:00,2024-11-21 20:59:00,Delivered,37.0,0,10,
80,358,10,102,339,339,3,8.0,2024-12-04 09:33:00,2024-12-04 10:14:00,Delivered,41.0,40,10,
81,1332,85,194,311,311,1,,2024-11-06 21:43:00,2024-11-06 22:36:00,Delivered,53.0,40,10,
82,1774,110,68,712,712,5,7.0,2025-12-12 16:19:00,2025-12-12 17:08:00,Delivered,49.0,25,10,
83,1661,100,126,301,301,1,,2024-10-27 21:38:00,2024-10-27 22:08:00,Delivered,30.0,25,10,
84,1490,76,10,468,468,2,11.0,2025-04-12 12:00:00,2025-04-12 12:58:00,Delivered,58.0,60,10,
85,536,48,189,694,694,2,,2025-11-24 22:36:00,2025-11-24 23:32:00,Delivered,56.0,25,10,
86,1010,52,253,264,264,2,,2024-09-20 13:19:00,2024-09-20 13:44:00,Delivered,25.0,25,10,
87,1687,99,35,558,558,5,12.0,2025-07-11 12:13:00,,Cancelled,,25,10,Payment Failed
88,1034,72,52,45,45,5,3.0,2024-02-14 08:21:00,,Cancelled,,40,10,Payment Failed
89,725,39,85,497,497,4,,2025-05-11 13:09:00,2025-05-11 13:46:00,Delivered,37.0,40,10,
90,811,72,246,356,356,2,6.0,2024-12-21 21:57:00,2024-12-21 22:48:00,Delivered,51.0,40,10,
91,494,10,100,525,525,2,,2025-06-08 13:16:00,2025-06-08 13:38:00,Delivered,22.0,0,10,
92,1856,107,294,655,655,1,,2025-10-16 14:27:00,2025-10-16 14:52:00,Delivered,25.0,60,10,
93,1349,86,97,128,128,1,,2024-05-07 22:10:00,2024-05-07 23:08:00,Delivered,58.0,40,10,
94,1386,86,64,295,295,5,11.0,2024-10-21 14:17:00,2024-10-21 14:45:00,Delivered,28.0,40,10,
95,823,50,137,593,593,2,,2025-08-15 13:37:00,2025-08-15 13:58:00,Delivered,21.0,25,10,
96,985,62,166,60,60,2,,2024-02-29 14:52:00,2024-02-29 15:35:00,Delivered,43.0,0,10,
97,627,40,77,512,512,5,,2025-05-26 21:24:00,2025-05-26 22:12:00,Delivered,48.0,25,10,
98,1305,85,194,242,242,5,,2024-08-29 16:37:00,2024-08-29 17:04:00,Delivered,27.0,25,10,
99,1365,81,161,30,30,3,,2024-01-30 09:52:00,2024-01-30 10:48:00,Delivered,56.0,25,10,
100,1156,62,98,447,447,5,,2025-03-22 17:40:00,2025-03-22 18:36:00,Delivered,56.0,25,10,
101,569,47,150,522,522,2,,2025-06-05 16:21:00,2025-06-05 17:08:00,Delivered,47.0,0,10,
102,101,12,260,98,98,3,,2024-04-07 17:51:00,2024-04-07 18:43:00,Delivered,52.0,25,10,
103,1792,109,218,369,369,3,7.0,2025-01-03 21:07:00,2025-01-03 21:53:00,Delivered,46.0,60,10,
104,1852,117,269,270,270,2,,2024-09-26 22:17:00,2024-09-26 23:17:00,Delivered,60.0,25,10,
105,1128,54,84,191,191,3,,2024-07-09 20:15:00,2024-07-09 21:09:00,Delivered,54.0,40,10,
106,296,12,178,212,212,1,,2024-07-30 22:52:00,,Cancelled,,40,10,Rider Unavailable
107,1643,93,106,190,190,4,10.0,2024-07-08 20:23:00,2024-07-08 21:00:00,Delivered,37.0,25,10,
108,1633,101,280,425,425,3,12.0,2025-02-28 10:01:00,2025-02-28 10:51:00,Delivered,50.0,0,10,
109,415,19,14,179,179,2,,2024-06-27 21:47:00,2024-06-27 22:28:00,Delivered,41.0,40,10,
110,363,1,164,578,578,1,,2025-07-31 14:56:00,2025-07-31 15:49:00,Delivered,53.0,25,10,
111,4,19,217,718,718,2,,2025-12-18 20:41:00,2025-12-18 21:35:00,Delivered,54.0,40,10,
112,441,18,46,680,680,4,2.0,2025-11-10 19:39:00,2025-11-10 20:11:00,Delivered,32.0,40,10,
113,631,36,86,135,135,2,,2024-05-14 22:14:00,2024-05-14 23:01:00,Delivered,47.0,25,10,
114,1507,96,195,306,306,2,,2024-11-01 22:30:00,2024-11-01 23:27:00,Delivered,57.0,0,10,
115,1265,89,159,628,628,4,,2025-09-19 21:54:00,2025-09-19 22:35:00,Delivered,41.0,40,10,
116,614,43,300,541,541,4,1.0,2025-06-24 21:46:00,2025-06-24 22:15:00,Delivered,29.0,25,10,
117,1614,102,232,163,163,2,7.0,2024-06-11 13:06:00,2024-06-11 13:51:00,Delivered,45.0,40,10,
118,78,12,66,24,24,4,,2024-01-24 22:32:00,2024-01-24 23:32:00,Delivered,60.0,25,10,
119,537,46,171,519,519,1,,2025-06-02 07:42:00,2025-06-02 08:28:00,Delivered,46.0,25,10,
120,1088,57,125,561,561,3,,2025-07-14 22:37:00,2025-07-14 23:21:00,Delivered,44.0,60,10,
121,343,27,236,639,639,5,,2025-09-30 09:04:00,2025-09-30 09:24:00,Delivered,20.0,25,10,
122,1986,104,56,135,135,1,9.0,2024-05-14 14:38:00,2024-05-14 15:32:00,Delivered,54.0,40,10,
123,850,62,117,257,257,5,11.0,2024-09-13 09:12:00,2024-09-13 09:45:00,Delivered,33.0,25,10,
124,1858,107,55,229,229,1,,2024-08-16 19:58:00,2024-08-16 20:30:00,Delivered,32.0,25,10,
125,1224,76,273,54,54,4,,2024-02-23 21:13:00,2024-02-23 21:59:00,Delivered,46.0,25,10,
126,896,63,277,418,418,5,,2025-02-21 12:07:00,2025-02-21 12:30:00,Delivered,23.0,40,10,
127,780,46,238,392,392,4,8.0,2025-01-26 17:53:00,2025-01-26 18:51:00,Delivered,58.0,25,10,
128,431,4,31,587,587,3,,2025-08-09 20:56:00,2025-08-09 21:39:00,Delivered,43.0,40,10,
129,936,50,287,672,672,2,,2025-11-02 10:43:00,2025-11-02 11:14:00,Delivered,31.0,25,10,
130,140,27,236,526,526,5,,2025-06-09 17:11:00,2025-06-09 18:06:00,Delivered,55.0,40,10,
131,1453,86,109,158,158,3,,2024-06-06 08:04:00,2024-06-06 08:52:00,Delivered,48.0,25,10,
132,1725,103,226,268,268,3,,2024-09-24 12:05:00,2024-09-24 12:45:00,Delivered,40.0,25,10,
133,303,6,190,71,71,5,,2024-03-11 13:26:00,2024-03-11 14:16:00,Delivered,50.0,0,10,
134,1339,77,159,150,150,2,,2024-05-29 14:52:00,2024-05-29 15:37:00,Delivered,45.0,40,10,
135,1985,118,212,401,401,1,,2025-02-04 12:58:00,2025-02-04 13:19:00,Delivered,21.0,25,10,
136,1430,80,119,521,521,2,,2025-06-04 08:51:00,2025-06-04 09:11:00,Delivered,20.0,40,10,
137,1832,119,151,271,271,1,,2024-09-27 09:20:00,2024-09-27 10:02:00,Delivered,42.0,0,10,
138,840,52,253,390,390,2,5.0,2025-01-24 17:44:00,2025-01-24 18:29:00,Delivered,45.0,25,10,
139,360,26,170,34,34,3,6.0,2024-02-03 21:53:00,2024-02-03 22:41:00,Delivered,48.0,0,10,
140,1943,115,183,660,660,4,,2025-10-21 14:41:00,2025-10-21 15:08:00,Delivered,27.0,25,10,
141,974,72,166,368,368,3,,2025-01-02 14:44:00,2025-01-02 15:16:00,Delivered,32.0,25,10,
142,1572,101,5,484,484,4,,2025-04-28 21:45:00,2025-04-28 22:07:00,Delivered,22.0,25,10,
143,951,65,205,589,589,1,,2025-08-11 22:40:00,2025-08-11 23:02:00,Delivered,22.0,25,10,
144,1740,103,215,409,409,5,,2025-02-12 17:36:00,,Cancelled,,60,10,Customer Cancelled
145,1316,77,7,320,320,5,4.0,2024-11-15 13:08:00,2024-11-15 13:54:00,Delivered,46.0,60,10,
146,1031,56,180,211,211,2,,2024-07-29 22:23:00,2024-07-29 23:22:00,Delivered,59.0,25,10,
147,78,12,203,273,273,2,3.0,2024-09-29 17:39:00,,Cancelled,,60,10,Rider Unavailable
148,754,34,21,233,233,4,,2024-08-20 12:31:00,2024-08-20 13:24:00,Delivered,53.0,40,10,
149,1216,75,97,621,621,5,,2025-09-12 19:03:00,2025-09-12 19:30:00,Delivered,27.0,40,10,
150,371,15,83,691,691,4,11.0,2025-11-21 12:13:00,,Cancelled,,25,10,Rider Unavailable
151,45,12,103,274,274,3,,2024-09-30 12:14:00,2024-09-30 13:09:00,Delivered,55.0,25,10,
152,1683,100,281,409,409,5,,2025-02-12 13:22:00,2025-02-12 14:19:00,Delivered,57.0,25,10,
153,1057,54,221,53,53,4,,2024-02-22 13:58:00,2024-02-22 14:58:00,Delivered,60.0,25,10,
154,1132,65,205,338,338,4,,2024-12-03 10:37:00,2024-12-03 11:31:00,Delivered,54.0,25,10,
155,510,32,150,661,661,5,,2025-10-22 14:03:00,2025-10-22 15:00:00,Delivered,57.0,25,10,
156,533,43,57,539,539,4,,2025-06-22 13:34:00,2025-06-22 14:24:00,Delivered,50.0,40,10,
157,1507,91,30,541,541,5,,2025-06-24 14:05:00,2025-06-24 14:58:00,Delivered,53.0,0,10,
158,728,41,175,476,476,1,,2025-04-20 14:20:00,2025-04-20 15:03:00,Delivered,43.0,40,10,
159,1646,100,114,38,38,4,,2024-02-07 12:54:00,,Cancelled,,0,10,Payment Failed
160,466,17,254,648,648,4,,2025-10-09 19:44:00,2025-10-09 20:20:00,Delivered,36.0,0,10,
161,1825,120,136,348,348,5,1.0,2024-12-13 22:33:00,2024-12-13 23:16:00,Delivered,43.0,25,10,
162,1030,61,219,219,219,3,,2024-08-06 14:30:00,2024-08-06 14:53:00,Delivered,23.0,25,10,
163,1939,120,136,397,397,1,6.0,2025-01-31 10:37:00,2025-01-31 11:37:00,Delivered,60.0,25,10,
164,1718,110,286,438,438,4,,2025-03-13 14:28:00,2025-03-13 15:25:00,Delivered,57.0,25,10,
165,578,46,238,515,515,1,,2025-05-29 22:26:00,2025-05-29 23:12:00,Delivered,46.0,25,10,
166,956,50,287,726,726,5,,2025-12-26 07:14:00,2025-12-26 07:44:00,Delivered,30.0,25,10,
167,1296,84,235,198,198,1,,2024-07-16 21:09:00,,Cancelled,,25,10,Rider Unavailable
168,945,58,205,728,728,3,,2025-12-28 08:35:00,2025-12-28 09:35:00,Delivered,60.0,25,10,
169,808,52,75,75,75,2,4.0,2024-03-15 21:45:00,2024-03-15 22:13:00,Delivered,28.0,25,10,
170,521,35,265,592,592,4,2.0,2025-08-14 22:11:00,2025-08-14 22:51:00,Delivered,40.0,0,10,
171,1415,79,285,562,562,2,,2025-07-15 20:33:00,2025-07-15 21:30:00,Delivered,57.0,0,10,
172,1275,85,204,413,413,5,9.0,2025-02-16 10:54:00,2025-02-16 11:20:00,Delivered,26.0,40,10,
173,6,6,174,646,646,4,,2025-10-07 17:25:00,2025-10-07 18:13:00,Delivered,48.0,0,10,
174,988,72,52,524,524,4,,2025-06-07 19:50:00,2025-06-07 20:32:00,Delivered,42.0,40,10,
175,837,67,266,368,368,3,,2025-01-02 14:20:00,2025-01-02 15:09:00,Delivered,49.0,40,10,
176,1851,120,184,656,656,1,,2025-10-17 22:12:00,2025-10-17 23:12:00,Delivered,60.0,60,10,
177,1193,69,134,232,232,1,,2024-08-19 21:06:00,2024-08-19 21:54:00,Delivered,48.0,60,10,
178,1737,109,284,678,678,1,,2025-11-08 09:56:00,2025-11-08 10:48:00,Delivered,52.0,25,10,
179,1541,100,24,511,511,2,,2025-05-25 07:29:00,2025-05-25 08:24:00,Delivered,55.0,25,10,
180,1561,100,249,61,61,5,,2024-03-01 17:46:00,2024-03-01 18:37:00,Delivered,51.0,0,10,
181,956,50,192,538,538,4,7.0,2025-06-21 13:35:00,2025-06-21 14:26:00,Delivered,51.0,40,10,
182,1803,108,2,708,708,1,,2025-12-08 20:59:00,2025-12-08 21:28:00,Delivered,29.0,25,10,
183,473,16,69,582,582,5,,2025-08-04 20:22:00,2025-08-04 21:14:00,Delivered,52.0,60,10,
184,315,23,264,728,728,5,,2025-12-28 09:02:00,2025-12-28 10:01:00,Delivered,59.0,40,10,
185,112,26,278,163,163,5,,2024-06-11 21:30:00,2024-06-11 21:56:00,Delivered,26.0,40,10,
186,1274,90,109,254,254,2,,2024-09-10 21:01:00,2024-09-10 21:48:00,Delivered,47.0,60,10,
187,439,20,37,426,426,3,12.0,2025-03-01 13:26:00,2025-03-01 13:48:00,Delivered,22.0,25,10,
188,1358,87,91,11,11,1,,2024-01-11 12:10:00,2024-01-11 12:31:00,Delivered,21.0,40,10,
189,1606,94,153,51,51,5,,2024-02-20 22:50:00,2024-02-20 23:38:00,Delivered,48.0,25,10,
190,712,41,110,47,47,3,,2024-02-16 13:13:00,2024-02-16 13:41:00,Delivered,28.0,25,10,
191,1209,81,18,373,373,3,,2025-01-07 14:04:00,2025-01-07 15:04:00,Delivered,60.0,25,10,
192,953,50,3,412,412,5,,2025-02-15 14:28:00,2025-02-15 15:15:00,Delivered,47.0,25,10,
193,255,14,252,703,703,4,,2025-12-03 13:47:00,2025-12-03 14:12:00,Delivered,25.0,25,10,
194,1832,116,2,350,350,4,,2024-12-15 10:14:00,2024-12-15 10:56:00,Delivered,42.0,25,10,
195,1650,91,270,611,611,2,,2025-09-02 13:27:00,2025-09-02 14:25:00,Delivered,58.0,25,10,
196,1240,75,104,448,448,2,,2025-03-23 21:58:00,2025-03-23 22:46:00,Delivered,48.0,25,10,
197,505,31,132,338,338,1,,2024-12-03 20:56:00,2024-12-03 21:16:00,Delivered,20.0,25,10,
198,448,17,9,431,431,2,,2025-03-06 17:23:00,,Cancelled,,40,10,Rider Unavailable
199,828,72,166,322,322,3,7.0,2024-11-17 12:57:00,,Cancelled,,25,10,Customer Cancelled
200,391,12,66,143,143,4,,2024-05-22 22:18:00,2024-05-22 23:03:00,Delivered,45.0,25,10,
201,1560,99,223,89,89,3,,2024-03-29 14:05:00,2024-03-29 14:57:00,Delivered,52.0,25,10,
202,1243,85,1,180,180,5,8.0,2024-06-28 17:26:00,,Cancelled,,0,10,Payment Failed
203,352,15,282,688,688,3,4.0,2025-11-18 20:54:00,2025-11-18 21:16:00,Delivered,22.0,60,10,
204,1887,119,198,675,675,5,,2025-11-05 12:05:00,2025-11-05 12:38:00,Delivered,33.0,25,10,
205,269,4,67,267,267,4,9.0,2024-09-23 13:55:00,2024-09-23 14:42:00,Delivered,47.0,0,10,
206,1801,118,212,450,450,5,12.0,2025-03-25 13:56:00,2025-03-25 14:26:00,Delivered,30.0,40,10,
207,76,23,196,410,410,4,,2025-02-13 08:58:00,2025-02-13 09:32:00,Delivered,34.0,25,10,
208,1409,87,247,185,185,2,3.0,2024-07-03 20:26:00,2024-07-03 21:22:00,Delivered,56.0,25,10,
209,262,25,14,86,86,1,,2024-03-26 13:41:00,2024-03-26 14:02:00,Delivered,21.0,40,10,
210,1986,104,218,463,463,4,12.0,2025-04-07 20:51:00,2025-04-07 21:22:00,Delivered,31.0,25,10,
211,1736,110,68,583,583,5,7.0,2025-08-05 20:40:00,2025-08-05 21:17:00,Delivered,37.0,0,10,
212,1096,52,253,344,344,4,,2024-12-09 22:39:00,2024-12-09 23:11:00,Delivered,32.0,0,10,
213,1603,100,281,637,637,1,,2025-09-28 07:56:00,2025-09-28 08:33:00,Delivered,37.0,25,10,
214,930,72,246,39,39,5,,2024-02-08 20:56:00,2024-02-08 21:56:00,Delivered,60.0,25,10,
215,626,41,175,423,423,5,,2025-02-26 08:14:00,2025-02-26 08:34:00,Delivered,20.0,40,10,
216,1096,52,111,469,469,2,9.0,2025-04-13 21:23:00,2025-04-13 22:17:00,Delivered,54.0,25,10,
217,1530,98,30,384,384,5,,2025-01-18 10:17:00,2025-01-18 10:41:00,Delivered,24.0,40,10,
218,1213,74,129,329,329,1,,2024-11-24 13:41:00,2024-11-24 14:20:00,Delivered,39.0,40,10,
219,1155,55,75,341,341,4,,2024-12-06 14:10:00,2024-12-06 14:55:00,Delivered,45.0,0,10,
220,1597,98,232,456,456,3,,2025-03-31 21:44:00,2025-03-31 22:31:00,Delivered,47.0,60,10,
221,550,48,57,27,27,5,,2024-01-27 07:03:00,2024-01-27 08:03:00,Delivered,60.0,40,10,
222,1670,101,193,457,457,2,,2025-04-01 17:34:00,2025-04-01 18:26:00,Delivered,52.0,60,10,
223,1901,120,99,648,648,1,,2025-10-09 12:44:00,2025-10-09 13:43:00,Delivered,59.0,25,10,
224,1250,86,15,201,201,4,,2024-07-19 12:11:00,2024-07-19 13:02:00,Delivered,51.0,40,10,
225,1116,64,277,563,563,4,,2025-07-16 21:09:00,2025-07-16 21:51:00,Delivered,42.0,40,10,
226,1264,81,229,70,70,1,,2024-03-10 17:47:00,2024-03-10 18:09:00,Delivered,22.0,60,10,
227,1993,106,76,609,609,3,,2025-08-31 22:45:00,2025-08-31 23:40:00,Delivered,55.0,60,10,
228,1350,74,119,491,491,1,4.0,2025-05-05 12:19:00,2025-05-05 12:49:00,Delivered,30.0,0,10,
229,1852,117,130,482,482,5,6.0,2025-04-26 07:06:00,2025-04-26 07:43:00,Delivered,37.0,25,10,
230,1056,53,162,64,64,1,1.0,2024-03-04 12:25:00,2024-03-04 13:03:00,Delivered,38.0,25,10,
231,1185,50,82,598,598,4,,2025-08-20 21:54:00,2025-08-20 22:28:00,Delivered,34.0,0,10,
232,1497,85,1,301,301,1,,2024-10-27 22:18:00,2024-10-27 22:59:00,Delivered,41.0,25,10,
233,1495,80,129,564,564,1,,2025-07-17 17:52:00,2025-07-17 18:23:00,Delivered,31.0,25,10,
234,1029,61,154,510,510,5,10.0,2025-05-24 14:20:00,2025-05-24 15:19:00,Delivered,59.0,25,10,
235,268,13,254,10,10,5,9.0,2024-01-10 14:14:00,,Cancelled,,25,10,Rider Unavailable
236,762,41,58,710,710,2,,2025-12-10 20:59:00,2025-12-10 21:23:00,Delivered,24.0,40,10,
237,628,44,298,23,23,5,1.0,2024-01-23 12:01:00,2024-01-23 12:39:00,Delivered,38.0,25,10,
238,1470,90,70,231,231,3,11.0,2024-08-18 16:55:00,2024-08-18 17:28:00,Delivered,33.0,25,10,
239,1230,83,143,202,202,1,,2024-07-20 21:24:00,2024-07-20 22:20:00,Delivered,56.0,40,10,
240,1672,97,153,686,686,2,,2025-11-16 13:14:00,2025-11-16 13:49:00,Delivered,35.0,40,10,
241,1056,58,205,326,326,5,,2024-11-21 07:51:00,2024-11-21 08:20:00,Delivered,29.0,25,10,
242,1741,103,226,82,82,1,,2024-03-22 17:49:00,2024-03-22 18:10:00,Delivered,21.0,25,10,
243,1942,118,80,254,254,2,11.0,2024-09-10 21:27:00,2024-09-10 21:50:00,Delivered,23.0,25,10,
244,1742,104,27,374,374,1,12.0,2025-01-08 20:20:00,2025-01-08 20:45:00,Delivered,25.0,60,10,
245,1791,112,294,242,242,2,,2024-08-29 20:08:00,2024-08-29 20:41:00,Delivered,33.0,60,10,
246,1482,87,91,526,526,4,,2025-06-09 07:23:00,2025-06-09 08:08:00,Delivered,45.0,25,10,
