order_item_id,order_id,menu_item_id,quantity,unit_price,line_total
396,163,3119,2,88,176
397,164,2872,2,129,258
398,164,2865,1,89,89
399,165,1234,1,134,134
400,165,1230,1,300,300
401,166,1332,1,211,211
402,167,2208,1,311,311
403,168,1545,2,213,426
404,168,1552,2,194,388
405,168,1539,1,225,225
406,169,1383,1,247,247
407,170,950,1,656,656
408,170,944,1,135,135
409,171,2096,1,326,326
410,171,2094,2,298,596
411,172,2225,2,136,272
412,172,2235,1,124,124
413,172,2237,1,414,414
414,173,141,1,401,401
415,173,139,1,210,210
416,173,143,1,94,94
417,174,1887,1,341,341
418,174,1883,3,300,900
419,174,1890,1,207,207
420,174,1900,1,333,333
421,175,1756,1,331,331
422,176,3134,1,288,288
423,176,3122,2,273,546
424,177,1806,1,341,341
425,177,1797,2,222,444
426,178,2837,1,197,197
427,179,2589,1,367,367
428,179,2598,1,316,316
429,179,2594,1,135,135
430,179,2597,1,189,189
431,180,2610,1,324,324
432,180,2592,1,145,145
433,180,2595,1,433,433
434,180,2615,1,83,83
435,181,1345,2,223,446
436,181,1333,1,143,143
437,181,1327,1,223,223
438,181,1328,1,318,318
439,182,2814,2,429,858
440,182,2802,2,606,1212
441,182,2818,1,528,528
442,182,2817,1,244,244
443,183,431,2,125,250
444,183,426,2,472,944
445,183,425,2,192,384
446,183,435,1,238,238
447,184,657,1,146,146
448,185,732,1,217,217
449,185,737,1,429,429
450,185,718,2,526,1052
451,186,2347,1,73,73
452,187,582,1,930,930
453,187,543,2,301,602
454,187,545,1,608,608
455,188,2280,1,582,582
456,189,2433,2,469,938
457,189,2430,2,360,720
458,190,1126,1,272,272
459,190,1140,1,266,266
460,190,1118,1,218,218
461,190,1141,1,380,380
462,191,2151,1,289,289
463,191,2134,1,277,277
464,192,1339,1,318,318
465,192,1326,1,200,200
466,192,1347,1,331,331
467,193,381,3,425,1275
468,193,397,1,311,311
469,193,380,1,322,322
470,194,2995,1,450,450
471,194,2992,1,867,867
472,194,3018,1,518,518
473,195,2364,2,177,354
474,195,2357,2,154,308
475,195,2366,1,245,245
476,195,2354,1,123,123
477,196,2010,2,820,1640
478,197,855,1,114,114
479,197,860,1,187,187
480,197,842,1,117,117
481,197,843,1,196,196
482,197,850,1,265,265
483,198,445,1,368,368
484,198,460,1,308,308
485,198,484,2,624,1248
486,198,457,1,451,451
487,199,1903,2,214,428
488,200,336,1,95,95
489,201,2573,3,214,642
490,201,2571,1,331,331
491,201,2572,1,160,160
492,202,2236,1,390,390
493,202,2225,1,136,136
494,202,2227,2,120,240
495,202,2226,2,400,800
496,203,404,1,356,356
497,203,411,1,139,139
498,203,405,1,156,156
499,203,413,1,429,429
500,204,3111,1,123,123
501,205,91,1,522,522
502,205,105,1,139,139
503,205,90,2,61,122
504,206,3073,1,144,144
505,206,3077,1,96,96
506,207,636,1,140,140
507,208,2275,1,256,256
508,209,692,1,242,242
509,209,699,1,317,317
510,209,687,2,156,312
511,210,2710,1,161,161
512,210,2716,2,276,552
513,211,2871,1,203,203
514,211,2879,1,186,186
515,211,2878,1,475,475
516,211,2876,1,309,309
517,212,1385,1,246,246
518,213,2604,1,301,301
519,213,2617,1,203,203
520,213,2612,1,407,407
521,214,1888,1,231,231
522,214,1889,1,170,170
523,214,1901,1,515,515
524,214,1902,1,261,261
525,214,1905,1,521,521
526,215,1138,1,230,230
527,215,1121,1,408,408
528,216,1404,1,164,164
529,216,1386,1,180,180
530,216,1380,1,411,411
531,216,1385,1,246,246
532,217,2561,1,282,282
533,217,2554,1,197,197
534,218,1954,2,208,416
535,218,1956,1,313,313
536,218,1959,1,133,133
537,218,1948,1,137,137
538,219,1468,1,447,447
539,219,1458,2,282,564
540,219,1469,1,287,287
541,220,2543,1,74,74
542,220,2548,2,205,410
543,220,2539,3,73,219
544,221,1296,1,119,119
545,221,1290,1,326,326
546,221,1285,2,104,208
547,222,2633,1,318,318
548,222,2622,1,253,253
549,222,2636,1,294,294
550,223,3121,1,213,213
551,224,2251,1,162,162
552,224,2242,2,299,598
553,225,1674,1,227,227
554,225,1682,1,253,253
555,225,1687,2,127,254
556,225,1685,1,192,192
557,226,2129,1,360,360
558,226,2141,1,240,240
559,226,2135,1,303,303
560,226,2143,1,292,292
561,227,2770,1,219,219
562,227,2763,1,157,157
563,228,1967,1,131,131
564,229,3046,1,202,202
565,229,3066,2,376,752
566,230,1427,2,177,354
567,230,1426,2,201,402
568,231,1334,1,244,244
569,231,1349,1,204,204
570,231,1344,2,181,362
571,232,2228,2,229,458
572,233,2115,1,121,121
573,233,2116,1,125,125
574,234,1614,3,167,501
575,234,1603,2,460,920
576,235,370,1,142,142
577,235,367,2,398,796
578,236,1129,1,534,534
579,236,1137,2,317,634
580,237,1191,1,154,154
581,237,1193,1,177,177
582,237,1198,1,133,133
583,238,2335,1,70,70
584,238,2328,3,116,348
585,238,2347,1,73,73
586,238,2345,2,278,556
587,239,2182,1,211,211
588,239,2177,1,511,511
589,240,2516,1,249,249
590,240,2517,2,235,470
591,240,2518,2,179,358
592,240,2515,2,231,462
593,241,1543,1,58,58
594,241,1551,1,155,155
595,242,2663,1,146,146
596,242,2680,1,322,322
597,242,2673,1,301,301
598,243,3077,1,96,96
599,243,3072,2,400,800
600,243,3070,2,158,316
601,243,3089,2,283,566
602,244,2721,2,239,478
603,244,2717,2,251,502
604,244,2707,1,193,193
605,244,2710,1,161,161
606,245,2898,2,349,698
607,246,2270,1,517,517
608,246,2269,1,231,231
609,246,2281,3,384,1152
610,247,641,2,118,236
611,247,644,1,157,157
612,248,2296,1,124,124
613,249,1299,1,414,414
614,249,1297,1,407,407
615,250,1421,1,127,127
616,250,1426,1,201,201
617,251,1618,1,110,110
618,251,1617,1,372,372
619,251,1599,1,105,105
620,252,633,2,154,308
621,253,1684,1,89,89
622,254,1474,1,363,363
623,254,1467,1,250,250
624,255,2224,2,164,328
625,255,2234,1,75,75
626,256,2637,1,127,127
627,256,2623,1,118,118
628,256,2631,2,140,280
629,257,2267,1,520,520
630,257,2274,2,278,556
631,258,962,1,315,315
632,258,970,2,772,1544
633,259,2659,2,190,380
634,260,2840,1,124,124
635,260,2838,3,176,528
636,261,641,1,118,118
637,261,659,2,179,358
638,261,639,1,203,203
639,261,651,1,144,144
640,262,2427,1,305,305
641,263,8,2,160,320
642,263,18,1,117,117
643,264,3131,1,205,205
644,265,416,2,470,940
645,265,421,1,399,399
646,265,406,1,115,115
647,266,1966,1,256,256
648,266,1945,1,170,170
649,266,1948,1,137,137
650,267,2248,1,122,122
651,267,2239,2,130,260
652,268,213,2,153,306
653,269,456,1,630,630
654,269,479,2,578,1156
655,269,464,2,428,856
656,270,321,1,478,478
657,270,335,2,478,956
658,270,337,1,472,472
659,271,906,1,66,66
660,272,1340,1,407,407
661,272,1335,1,406,406
662,273,2342,1,116,116
663,274,1622,1,197,197
664,274,1630,1,202,202
665,275,1461,1,302,302
666,275,1457,1,296,296
667,275,1456,3,229,687
668,276,2724,1,156,156
669,276,2717,1,251,251
670,277,1331,1,248,248
671,277,1345,1,223,223
672,278,2600,1,316,316
673,278,2592,2,145,290
674,278,2599,1,67,67
675,279,1290,2,326,652
676,279,1295,1,191,191
677,279,1287,1,281,281
678,279,1298,1,207,207
679,280,1626,1,73,73
680,280,1619,1,142,142
681,281,2552,2,250,500
682,281,2557,1,355,355
683,282,2745,1,159,159
684,282,2732,1,271,271
685,283,1646,3,98,294
686,284,1702,1,164,164
687,284,1698,1,233,233
688,285,814,1,190,190
689,286,2026,2,234,468
690,286,2025,1,156,156
691,286,2030,1,283,283
692,286,2031,1,177,177
693,286,2034,1,177,177
694,287,218,1,296,296
695,287,216,2,122,244
696,288,216,1,122,122
697,288,231,1,248,248
698,289,2027,2,147,294
699,289,2019,1,125,125
700,290,192,1,392,392
701,291,2167,1,274,274
702,291,2170,1,107,107
703,291,2162,1,133,133
704,292,2910,2,176,352
705,292,2907,1,299,299
706,292,2899,2,148,296
707,292,2902,1,167,167
708,293,2320,1,158,158
709,293,2321,3,91,273
710,293,2311,1,169,169
711,293,2318,1,139,139
712,294,2558,1,120,120
713,294,2556,2,269,538
714,294,2561,1,282,282
715,294,2557,2,355,710
716,294,2554,1,197,197
717,295,3133,1,270,270
718,295,3132,2,190,380
719,295,3131,2,205,410
720,296,3071,1,311,311
721,297,1065,2,248,496
722,297,1067,2,359,718
723,298,3086,1,373,373
724,298,3080,1,137,137
725,299,2836,1,298,298
726,299,2799,1,497,497
727,300,1325,1,207,207
728,301,1655,1,113,113
729,301,1666,1,224,224
730,302,2098,1,315,315
731,303,853,1,78,78
732,304,1176,1,237,237
733,304,1170,2,260,520
734,305,324,1,140,140
735,305,333,1,90,90
736,306,3090,1,182,182
737,306,3105,1,125,125
738,307,2788,1,364,364
739,307,2783,2,137,274
740,308,324,1,140,140
741,308,330,2,386,772
742,309,2674,1,262,262
743,310,1781,1,75,75
744,311,2678,1,63,63
745,311,2664,1,253,253
746,311,2684,1,445,445
747,312,1036,1,130,130
748,312,1042,2,214,428
749,312,1034,1,143,143
750,312,1037,1,167,167
751,312,1046,1,240,240
752,313,1693,2,125,250
753,313,1706,2,230,460
754,313,1708,1,251,251
755,313,1692,3,151,453
756,314,492,1,130,130
757,314,505,1,327,327
758,315,3060,1,473,473
759,315,3056,1,311,311
760,315,3054,1,207,207
761,315,3053,1,188,188
762,316,1475,1,417,417
763,316,1458,1,282,282
764,317,2733,1,308,308
765,317,2746,1,150,150
766,318,2647,2,145,290
767,318,2650,1,219,219
768,318,2655,1,240,240
769,319,3130,1,116,116
770,319,3122,2,273,546
771,320,326,2,129,258
772,321,2211,3,124,372
773,321,2212,1,206,206
774,321,2209,1,169,169
775,322,61,3,382,1146
776,322,80,2,130,260
777,323,1022,2,158,316
778,324,15,1,201,201
779,325,1194,2,203,406
780,325,1206,2,198,396
781,325,1196,1,144,144
782,326,2475,1,336,336
783,326,2491,1,574,574
784,327,261,1,796,796
785,327,268,2,387,774
786,327,286,1,302,302
787,327,243,1,194,194
788,328,1372,1,96,96
789,328,1375,3,248,744
790,328,1354,2,187,374
791,329,2630,1,181,181
792,329,2640,3,252,756
793,330,1895,1,488,488
794,330,1890,1,207,207
795,330,1905,1,521,521
796,331,2149,2,378,756
797,331,2144,2,318,636
798,331,2145,2,252,504
799,332,1151,1,294,294
800,332,1161,1,214,214
801,332,1150,2,316,632
802,332,1146,2,322,644
803,333,1691,2,178,356
804,333,1688,2,189,378
805,334,2231,1,479,479
806,334,2221,1,186,186
807,334,2227,1,120,120
808,334,2236,1,390,390
809,335,1211,1,244,244
810,335,1221,1,295,295
811,336,2349,1,535,535
812,336,2346,1,413,413
813,336,2343,1,85,85
814,337,1315,1,224,224
815,337,1323,2,178,356
816,337,1317,2,125,250
817,338,2959,2,291,582
818,338,2958,1,440,440
819,339,978,1,654,654
820,339,987,1,689,689
821,340,1567,1,164,164
822,340,1564,1,220,220
823,340,1569,1,197,197
824,340,1563,1,158,158
825,341,1102,1,346,346
826,341,1105,1,177,177
827,342,1174,2,230,460
828,342,1172,1,213,213
829,342,1179,1,247,247
830,342,1177,1,174,174
831,343,1295,1,191,191
832,344,1786,1,148,148
833,345,144,2,152,304
834,345,153,1,133,133
835,345,143,1,94,94
836,346,2715,1,133,133
837,346,2706,1,271,271
838,346,2708,1,76,76
839,347,3116,1,94,94
840,347,3105,1,125,125
841,347,3115,1,121,121
842,348,2782,3,359,1077
843,348,2774,2,368,736
844,348,2783,1,137,137
845,348,2780,1,113,113
846,349,1824,1,430,430
847,349,1821,1,150,150
848,349,1820,1,107,107
849,350,1421,2,127,254
850,350,1419,1,136,136
851,350,1416,2,141,282
852,350,1418,1,123,123
853,351,2242,1,299,299
854,351,2265,2,298,596
855,351,2263,1,294,294
856,351,2244,2,228,456
857,352,108,1,391,391
858,352,99,1,85,85
859,352,100,2,218,436
860,353,1184,1,318,318
861,353,1177,3,174,522
862,354,1381,2,315,630
863,354,1403,1,153,153
864,355,2437,2,231,462
865,355,2435,1,498,498
866,355,2430,1,360,360
867,356,2839,2,291,582
868,357,1893,2,500,1000
869,357,1885,1,309,309
870,357,1884,1,494,494
871,357,1886,3,205,615
872,357,1901,2,515,1030
873,358,2721,1,239,239
874,358,2715,1,133,133
875,358,2711,1,84,84
876,359,325,1,447,447
877,359,323,1,399,399
878,360,1237,1,122,122
879,361,415,1,347,347
880,361,406,1,115,115
881,361,421,1,399,399
882,362,1622,1,197,197
883,362,1623,2,177,354
884,363,3075,1,408,408
885,364,2126,1,148,148
886,364,2117,1,102,102
887,365,1161,2,214,428
888,365,1167,1,182,182
889,366,1325,2,207,414
890,366,1330,2,117,234
891,367,1077,1,230,230
892,367,1074,2,477,954
893,367,1081,2,140,280
894,367,1078,3,446,1338
895,368,92,1,353,353
896,368,108,1,391,391
897,368,100,1,218,218
898,368,95,2,107,214
899,369,3072,1,400,400
900,369,3084,2,272,544
901,369,3074,1,247,247
902,369,3075,1,408,408
903,370,966,1,230,230
904,370,983,1,504,504
905,371,2285,1,99,99
906,371,2272,1,640,640
907,372,3124,1,108,108
908,372,3120,1,134,134
909,373,2016,3,222,666
910,373,2027,1,147,147
911,373,2036,2,184,368
912,374,2232,1,327,327
913,374,2230,3,123,369
914,374,2225,1,136,136
915,375,592,2,289,578
916,376,1470,2,186,372
917,376,1469,1,287,287
918,376,1475,1,417,417
919,377,2020,1,266,266
920,377,2030,2,283,566
921,377,2034,1,177,177
922,377,2028,2,296,592
923,377,2016,1,222,222
924,378,149,1,186,186
925,378,145,1,428,428
926,378,139,1,210,210
927,378,147,1,350,350
928,379,2286,1,208,208
929,379,2276,2,168,336
930,380,2578,1,122,122
931,380,2584,1,189,189
932,381,2554,3,197,591
933,381,2548,1,205,205
934,381,2555,2,150,300
935,381,2553,2,254,508
936,382,2506,1,901,901
937,382,2497,1,266,266
938,382,2485,1,447,447
939,383,387,2,185,370
940,383,376,1,202,202
941,384,3129,2,197,394
942,384,3128,1,228,228
943,384,3135,1,212,212
944,385,718,1,526,526
945,385,739,1,212,212
946,386,1193,1,177,177
947,386,1187,1,157,157
948,386,1204,2,250,500
949,386,1197,1,207,207
950,387,2575,1,243,243
951,387,2565,1,122,122
952,388,2050,1,216,216
953,388,2051,1,121,121
954,389,2103,1,341,341
955,389,2102,2,335,670
956,390,1342,1,66,66
957,390,1324,2,306,612
958,390,1350,1,107,107
959,390,1349,1,204,204
960,391,2178,1,211,211
961,392,661,1,188,188
962,392,638,2,220,440
963,392,652,2,143,286
964,393,1018,2,237,474
965,393,1027,2,408,816
966,394,299,1,147,147
967,394,290,1,95,95
968,395,220,1,185,185
969,395,218,2,296,592
970,396,676,1,110,110
971,396,662,2,171,342
972,397,62,1,432,432
973,397,86,1,411,411
974,397,88,2,476,952
975,398,2298,2,143,286
976,399,2399,1,355,355
977,399,2410,2,306,612
978,399,2405,1,150,150
979,400,1724,1,471,471
980,400,1714,1,131,131
981,400,1733,1,93,93
982,401,1214,1,288,288
983,401,1224,1,154,154
984,401,1222,2,277,554
985,401,1217,1,302,302
986,402,1422,1,131,131
987,402,1415,1,118,118
988,402,1426,1,201,201
989,402,1416,1,141,141
990,403,3079,2,272,544
991,403,3084,2,272,544
992,404,2362,1,146,146
993,404,2366,1,245,245
994,404,2360,1,242,242
995,404,2351,1,244,244
996,404,2352,2,251,502
997,405,1412,1,275,275
998,406,336,1,95,95
999,407,2631,1,140,140
1000,407,2636,1,294,294
1001,408,2682,1,150,150
1002,409,2854,1,196,196
1003,409,2850,2,175,350
1004,409,2838,1,176,176
1005,409,2843,1,192,192
1006,410,796,1,136,136
1007,411,2730,1,219,219
1008,411,2745,2,159,318
1009,411,2733,1,308,308
1010,412,2738,2,104,208
1011,412,2743,1,253,253
1012,413,1083,1,93,93
1013,414,2899,1,148,148
1014,414,2900,3,245,735
1015,415,3077,1,96,96
1016,415,3078,3,146,438
1017,415,3081,1,118,118
1018,415,3088,1,68,68
1019,416,1201,1,202,202
1020,416,1205,1,91,91
1021,416,1187,1,157,157
1022,416,1210,2,352,704
1023,417,2715,1,133,133
1024,417,2703,1,57,57
1025,417,2722,1,166,166
1026,418,225,2,186,372
1027,419,2620,1,188,188
1028,419,2627,2,148,296
1029,419,2626,1,217,217
1030,420,2626,1,217,217
1031,420,2625,1,179,179
1032,421,1496,1,178,178
1033,421,1493,1,186,186
1034,421,1488,1,420,420
1035,422,2634,3,267,801
1036,422,2637,2,127,254
1037,422,2631,1,140,140
1038,423,1741,1,208,208
1039,423,1724,1,471,471
1040,423,1743,1,52,52
1041,424,968,1,439,439
1042,424,964,2,387,774
1043,424,960,3,810,2430
1044,425,1920,2,464,928
1045,425,1919,1,363,363
1046,425,1936,1,299,299
1047,425,1927,2,234,468
1048,425,1941,2,430,860
1049,426,1304,2,122,244
1050,426,1303,1,112,112
1051,427,1285,1,104,104
1052,427,1301,1,391,391
1053,427,1290,1,326,326
1054,428,2743,2,253,506
1055,428,2735,1,181,181
1056,429,2565,2,122,244
1057,429,2564,1,167,167
1058,429,2569,2,133,266
1059,430,628,1,156,156
1060,430,623,1,157,157
1061,431,2252,1,149,149
1062,431,2254,3,97,291
1063,432,2701,1,209,209
1064,433,148,1,517,517
1065,433,152,1,417,417
1066,433,138,1,409,409
1067,433,139,1,210,210
1068,434,3085,1,443,443
1069,434,3071,1,311,311
1070,434,3087,1,137,137
1071,435,2232,2,327,654
1072,435,2231,1,479,479
1073,436,2282,2,196,392
1074,436,2281,1,384,384
1075,436,2278,1,437,437
1076,437,2151,1,289,289
1077,437,2132,2,187,374
1078,437,2145,1,252,252
1079,438,1283,1,130,130
1080,438,1277,1,301,301
1081,439,2455,1,286,286
1082,440,1349,1,204,204
